time,in,out
2019-07-12 11:37:02,0,-5.252657
2019-07-12 11:37:01,0,0
2019-07-12 11:37:00,0,0
2019-07-12 11:36:59,0,0
2019-07-12 11:36:58,0,0
2019-07-12 11:36:57,0,0
2019-07-12 11:36:56,0,-2.255665
2019-07-12 11:36:55,0,-1.744335
2019-07-12 11:36:54,0,0
2019-07-12 11:36:53,0,0
2019-07-12 11:36:52,0,0
2019-07-12 11:36:51,0,0
2019-07-12 11:36:50,0,-15.916511
2019-07-12 11:36:49,0,-12.083489
2019-07-12 11:36:48,0,0
2019-07-12 11:36:47,0,0
2019-07-12 11:36:46,0,0
2019-07-12 11:36:45,0,-2.260063
2019-07-12 11:36:44,0,-1.739937
2019-07-12 11:36:43,0,-7.031452
2019-07-12 11:36:42,0,-4.968548
2019-07-12 11:36:41,0,0
2019-07-12 11:36:40,0,0
2019-07-12 11:36:39,0,0
2019-07-12 11:36:38,0,0
2019-07-12 11:36:37,0,0
2019-07-12 11:36:36,0,0
2019-07-12 11:36:35,0,0
2019-07-12 11:36:34,0,0
2019-07-12 11:36:33,0,-7.01762
2019-07-12 11:36:32,0,-4.98238
2019-07-12 11:36:31,0,0
2019-07-12 11:36:30,0,0
2019-07-12 11:36:29,0,0
2019-07-12 11:36:28,0,0
2019-07-12 11:36:27,0,0
2019-07-12 11:36:26,0,0
2019-07-12 11:36:25,0,-9.392741
2019-07-12 11:36:24,0,-6.607259
2019-07-12 11:36:23,0,0
2019-07-12 11:36:22,0,0
2019-07-12 11:36:21,0,0
2019-07-12 11:36:20,0,-18.72159
2019-07-12 11:36:19,0,-13.278407
2019-07-12 11:36:18,0,0
2019-07-12 11:36:17,0,0
2019-07-12 11:36:16,0,0
2019-07-12 11:36:15,0,0
2019-07-12 11:36:14,0,0
2019-07-12 11:36:13,0,0
2019-07-12 11:36:12,0,-7.2705
2019-07-12 11:36:11,0,-4.7295
2019-07-12 11:36:10,0,0
2019-07-12 11:36:09,0,0
2019-07-12 11:36:08,0,0
2019-07-12 11:36:07,0,0
2019-07-12 11:36:06,0,0
2019-07-12 11:36:05,0,0
2019-07-12 11:36:04,0,0
2019-07-12 11:36:03,0,0
2019-07-12 11:36:02,0,-7.274275
2019-07-12 11:36:01,0,-4.725725
2019-07-12 11:36:00,0,0
2019-07-12 11:35:59,0,0
2019-07-12 11:35:58,0,0
2019-07-12 11:35:57,0,0
2019-07-12 11:35:56,0,0
2019-07-12 11:35:55,0,0
2019-07-12 11:35:54,0,0
2019-07-12 11:35:53,0,0
2019-07-12 11:35:52,0,0
2019-07-12 11:35:51,0,0
2019-07-12 11:35:50,0,-9.734153
2019-07-12 11:35:49,0,-6.265847
2019-07-12 11:35:48,0,0
2019-07-12 11:35:47,0,0
2019-07-12 11:35:46,0,0
2019-07-12 11:35:45,0,-4.869285
2019-07-12 11:35:44,0,-3.130715
2019-07-12 11:35:43,0,0
2019-07-12 11:35:42,0,-7.502072
