time,interrupts
2019-07-12 11:38:52,157.21384
2019-07-12 11:38:51,143.21556
2019-07-12 11:38:50,138.61533
2019-07-12 11:38:49,176.1249
2019-07-12 11:38:48,186.4578
2019-07-12 11:38:47,154.382
2019-07-12 11:38:46,152.73286
2019-07-12 11:38:45,157.65942
2019-07-12 11:38:44,179.4592
2019-07-12 11:38:43,172.0585
2019-07-12 11:38:42,150.59088
2019-07-12 11:38:41,158.85349
2019-07-12 11:38:40,153.3969
2019-07-12 11:38:39,169.534
2019-07-12 11:38:38,170.9401
2019-07-12 11:38:37,143.49042
2019-07-12 11:38:36,135.69806
2019-07-12 11:38:35,135.53204
2019-07-12 11:38:34,144.39063
2019-07-12 11:38:33,151.9967
2019-07-12 11:38:32,153.01533
2019-07-12 11:38:31,144.05953
2019-07-12 11:38:30,144.95919
2019-07-12 11:38:29,144.64337
2019-07-12 11:38:28,141.16779
2019-07-12 11:38:27,156.19662
2019-07-12 11:38:26,157.01768
2019-07-12 11:38:25,145.15101
2019-07-12 11:38:24,151.95988
2019-07-12 11:38:23,150.45478
2019-07-12 11:38:22,141.18506
2019-07-12 11:38:21,136.25331
2019-07-12 11:38:20,138.8344
2019-07-12 11:38:19,148.61052
2019-07-12 11:38:18,141.96218
2019-07-12 11:38:17,129.51284
2019-07-12 11:38:16,130.59287
2019-07-12 11:38:15,152.71921
2019-07-12 11:38:14,199.6533
2019-07-12 11:38:13,189.4817
2019-07-12 11:38:12,143.4908
2019-07-12 11:38:11,136.34526
2019-07-12 11:38:10,136.71815
2019-07-12 11:38:09,167.20025
2019-07-12 11:38:08,164.66472
2019-07-12 11:38:07,134.55716
2019-07-12 11:38:06,142.19462
2019-07-12 11:38:05,147.51201
2019-07-12 11:38:04,141.84469
2019-07-12 11:38:03,136.173
2019-07-12 11:38:02,138.55586
2019-07-12 11:38:01,137.85998
2019-07-12 11:38:00,139.21426
2019-07-12 11:37:59,174.4416
2019-07-12 11:37:58,178.0189
2019-07-12 11:37:57,155.53563
2019-07-12 11:37:56,159.66531
2019-07-12 11:37:55,151.52658
2019-07-12 11:37:54,131.88038
2019-07-12 11:37:53,135.99016
2019-07-12 11:37:52,143.06783
2019-07-12 11:37:51,143.94548
2019-07-12 11:37:50,153.36836
2019-07-12 11:37:49,165.73337
2019-07-12 11:37:48,157.75899
2019-07-12 11:37:47,148.17934
2019-07-12 11:37:46,151.89968
2019-07-12 11:37:45,162.45697
2019-07-12 11:37:44,181.7343
2019-07-12 11:37:43,175.8104
2019-07-12 11:37:42,156.8502
2019-07-12 11:37:41,165.06223
2019-07-12 11:37:40,164.18363
2019-07-12 11:37:39,158.3792
2019-07-12 11:37:38,151.36212
2019-07-12 11:37:37,149.93193
2019-07-12 11:37:36,146.80896
2019-07-12 11:37:35,133.80768
2019-07-12 11:37:34,133.31841
2019-07-12 11:37:33,148.18309
2019-07-12 11:37:32,150.7512
2019-07-12 11:37:31,136.04995
2019-07-12 11:37:30,137.37229
2019-07-12 11:37:29,157.10389
2019-07-12 11:37:28,166.20062
2019-07-12 11:37:27,182.3293
2019-07-12 11:37:26,162.27864
2019-07-12 11:37:25,135.82081
2019-07-12 11:37:24,142.3225
2019-07-12 11:37:23,145.82728
2019-07-12 11:37:22,144.27657
2019-07-12 11:37:21,144.08958
2019-07-12 11:37:20,147.80965
2019-07-12 11:37:19,173.3896
2019-07-12 11:37:18,166.79774
2019-07-12 11:37:17,181.0471
2019-07-12 11:37:16,179.429
2019-07-12 11:37:15,156.1397
2019-07-12 11:37:14,182.2103
2019-07-12 11:37:13,187.3751
2019-07-12 11:37:12,151.58522
2019-07-12 11:37:11,144.93927
2019-07-12 11:37:10,150.47072
2019-07-12 11:37:09,143.19935
2019-07-12 11:37:08,136.59673
2019-07-12 11:37:07,138.37673
2019-07-12 11:37:06,133.41505
2019-07-12 11:37:05,137.9307
2019-07-12 11:37:04,140.80929
2019-07-12 11:37:03,132.99987
2019-07-12 11:37:02,134.12836
2019-07-12 11:37:01,127.98842
2019-07-12 11:37:00,121.43115
2019-07-12 11:36:59,125.38022
2019-07-12 11:36:58,129.1285
2019-07-12 11:36:57,162.70873
2019-07-12 11:36:56,174.6173
2019-07-12 11:36:55,152.61731
2019-07-12 11:36:54,146.74458
2019-07-12 11:36:53,141.29091
2019-07-12 11:36:52,137.04507
2019-07-12 11:36:51,144.72241
2019-07-12 11:36:50,161.6954
2019-07-12 11:36:49,149.28547
2019-07-12 11:36:48,134.42478
2019-07-12 11:36:47,143.97218
2019-07-12 11:36:46,146.01726
2019-07-12 11:36:45,150.4141
2019-07-12 11:36:44,189.1906
2019-07-12 11:36:43,180.6783
2019-07-12 11:36:42,143.11501
2019-07-12 11:36:41,148.7192
2019-07-12 11:36:40,160.10441
2019-07-12 11:36:39,157.18914
2019-07-12 11:36:38,144.36191
2019-07-12 11:36:37,143.34244
2019-07-12 11:36:36,139.17766
2019-07-12 11:36:35,144.07956
2019-07-12 11:36:34,148.68953
2019-07-12 11:36:33,155.95849
2019-07-12 11:36:32,150.74025
2019-07-12 11:36:31,141.88449
2019-07-12 11:36:30,145.43022
2019-07-12 11:36:29,139.36889
2019-07-12 11:36:28,137.1468
2019-07-12 11:36:27,194.2604
2019-07-12 11:36:26,182.4075
2019-07-12 11:36:25,143.80709
2019-07-12 11:36:24,140.12805
2019-07-12 11:36:23,139.89564
2019-07-12 11:36:22,140.48978
2019-07-12 11:36:21,147.2425
2019-07-12 11:36:20,159.99399
2019-07-12 11:36:19,162.27184
2019-07-12 11:36:18,156.26754
2019-07-12 11:36:17,175.8087
2019-07-12 11:36:16,163.60925
2019-07-12 11:36:15,152.17189
2019-07-12 11:36:14,201.0981
2019-07-12 11:36:13,192.1861
2019-07-12 11:36:12,154.53128
2019-07-12 11:36:11,153.65809
2019-07-12 11:36:10,145.99949
2019-07-12 11:36:09,148.78707
2019-07-12 11:36:08,154.42953
2019-07-12 11:36:07,151.03611
2019-07-12 11:36:06,168.601
2019-07-12 11:36:05,158.37614
2019-07-12 11:36:04,145.89661
2019-07-12 11:36:03,147.4166
2019-07-12 11:36:02,162.60877
2019-07-12 11:36:01,161.34253
2019-07-12 11:36:00,156.49327
2019-07-12 11:35:59,151.83235
2019-07-12 11:35:58,145.74793
2019-07-12 11:35:57,154.32308
2019-07-12 11:35:56,202.1493
2019-07-12 11:35:55,180.5147
2019-07-12 11:35:54,151.99293
2019-07-12 11:35:53,154.68227
2019-07-12 11:35:52,158.22893
2019-07-12 11:35:51,159.73251
2019-07-12 11:35:50,162.46076
2019-07-12 11:35:49,149.4634
2019-07-12 11:35:48,153.76408
2019-07-12 11:35:47,154.42774
2019-07-12 11:35:46,177.0913
2019-07-12 11:35:45,184.6137
2019-07-12 11:35:44,197.073
2019-07-12 11:35:43,171.4228
2019-07-12 11:35:42,157.67808
2019-07-12 11:35:41,161.27864
2019-07-12 11:35:40,160.15854
2019-07-12 11:35:39,160.00661
2019-07-12 11:35:38,147.30733
2019-07-12 11:35:37,146.12476
2019-07-12 11:35:36,157.52168
2019-07-12 11:35:35,145.24738
2019-07-12 11:35:34,156.8739
2019-07-12 11:35:33,161.18404
2019-07-12 11:35:32,165.2704
2019-07-12 11:35:31,151.00684
2019-07-12 11:35:30,152.85817
2019-07-12 11:35:29,147.36165
