time,uptime
2019-07-12 11:37:20,1002
2019-07-12 11:37:19,1001.001
2019-07-12 11:37:18,1000.001
2019-07-12 11:37:17,999.006
2019-07-12 11:37:16,998.001
2019-07-12 11:37:15,997.002
2019-07-12 11:37:14,996
2019-07-12 11:37:13,995.007
2019-07-12 11:37:12,994.008
2019-07-12 11:37:11,993.002
2019-07-12 11:37:10,992.001
2019-07-12 11:37:09,991.001
2019-07-12 11:37:08,990.008
2019-07-12 11:37:07,989.003
2019-07-12 11:37:06,988.001
2019-07-12 11:37:05,987.015
2019-07-12 11:37:04,986
2019-07-12 11:37:03,985.023
2019-07-12 11:37:02,984
2019-07-12 11:37:01,983
2019-07-12 11:37:00,982.003
2019-07-12 11:36:59,981.001
2019-07-12 11:36:58,980
2019-07-12 11:36:57,979.001
2019-07-12 11:36:56,978
2019-07-12 11:36:55,977.001
2019-07-12 11:36:54,976.002
2019-07-12 11:36:53,975
2019-07-12 11:36:52,974.001
2019-07-12 11:36:51,973.003
2019-07-12 11:36:50,972.006
2019-07-12 11:36:49,971.002
2019-07-12 11:36:48,970.009
2019-07-12 11:36:47,969
2019-07-12 11:36:46,968.005
2019-07-12 11:36:45,967.001
2019-07-12 11:36:44,966.005
2019-07-12 11:36:43,965.001
2019-07-12 11:36:42,964.007
2019-07-12 11:36:41,963
2019-07-12 11:36:40,962.002
2019-07-12 11:36:39,961.006
2019-07-12 11:36:38,960.002
2019-07-12 11:36:37,959.002
2019-07-12 11:36:36,958.001
2019-07-12 11:36:35,957.001
2019-07-12 11:36:34,956
2019-07-12 11:36:33,955
2019-07-12 11:36:32,954.002
2019-07-12 11:36:31,953.001
2019-07-12 11:36:30,952.002
2019-07-12 11:36:29,951
2019-07-12 11:36:28,950.001
2019-07-12 11:36:27,949.002
2019-07-12 11:36:26,948.002
2019-07-12 11:36:25,947.001
2019-07-12 11:36:24,946.004
2019-07-12 11:36:23,945.004
2019-07-12 11:36:22,944.003
2019-07-12 11:36:21,943.007
2019-07-12 11:36:20,942.003
2019-07-12 11:36:19,941.003
2019-07-12 11:36:18,940.001
2019-07-12 11:36:17,939
2019-07-12 11:36:16,938.011
2019-07-12 11:36:15,937
2019-07-12 11:36:14,936.001
2019-07-12 11:36:13,935.001
2019-07-12 11:36:12,934.001
2019-07-12 11:36:11,933.002
2019-07-12 11:36:10,932.001
2019-07-12 11:36:09,931.002
2019-07-12 11:36:08,930.01
2019-07-12 11:36:07,929
2019-07-12 11:36:06,928.005
2019-07-12 11:36:05,927
2019-07-12 11:36:04,926.002
2019-07-12 11:36:03,925.005
2019-07-12 11:36:02,924.001
2019-07-12 11:36:01,923.004
2019-07-12 11:36:00,922.001
2019-07-12 11:35:59,921.001
2019-07-12 11:35:58,920.002
2019-07-12 11:35:57,919
2019-07-12 11:35:56,918.003
2019-07-12 11:35:55,917.001
2019-07-12 11:35:54,916.002
2019-07-12 11:35:53,915.001
2019-07-12 11:35:52,914.001
2019-07-12 11:35:51,913.002
2019-07-12 11:35:50,912.004
2019-07-12 11:35:49,911.006
2019-07-12 11:35:48,910.003
2019-07-12 11:35:47,909.001
2019-07-12 11:35:46,908
2019-07-12 11:35:45,907.006
2019-07-12 11:35:44,906.002
2019-07-12 11:35:43,905.006
2019-07-12 11:35:42,904.002
2019-07-12 11:35:41,903
2019-07-12 11:35:40,902
2019-07-12 11:35:39,901.008
2019-07-12 11:35:38,900.002
2019-07-12 11:35:37,899.002
2019-07-12 11:35:36,898
2019-07-12 11:35:35,897
2019-07-12 11:35:34,896
2019-07-12 11:35:33,895.002
2019-07-12 11:35:32,894.001
2019-07-12 11:35:31,893.001
2019-07-12 11:35:30,892.005
2019-07-12 11:35:29,891.001
2019-07-12 11:35:28,890
2019-07-12 11:35:27,889.002
2019-07-12 11:35:26,888
2019-07-12 11:35:25,887.002
2019-07-12 11:35:24,886.006
2019-07-12 11:35:23,885
2019-07-12 11:35:22,884
2019-07-12 11:35:21,883.001
2019-07-12 11:35:20,882.004
2019-07-12 11:35:19,881.001
2019-07-12 11:35:18,880
2019-07-12 11:35:17,879.001
2019-07-12 11:35:16,878.003
2019-07-12 11:35:15,877.01
2019-07-12 11:35:14,876.001
2019-07-12 11:35:13,875.004
