time,switches
2019-07-12 11:40:13,498.3168
2019-07-12 11:40:12,317.9733
2019-07-12 11:40:11,306.4585
2019-07-12 11:40:10,324.5874
2019-07-12 11:40:09,305.6219
2019-07-12 11:40:08,310.9697
2019-07-12 11:40:07,291.1405
2019-07-12 11:40:06,283.1161
2019-07-12 11:40:05,303.2323
2019-07-12 11:40:04,304.6329
2019-07-12 11:40:03,337.2537
2019-07-12 11:40:02,359.8969
2019-07-12 11:40:01,299.9234
2019-07-12 11:40:00,293.5296
2019-07-12 11:39:59,300.6858
2019-07-12 11:39:58,295.5961
2019-07-12 11:39:57,294.9242
2019-07-12 11:39:56,298.2653
2019-07-12 11:39:55,317.0051
2019-07-12 11:39:54,326.3799
2019-07-12 11:39:53,325.2984
2019-07-12 11:39:52,323.5759
2019-07-12 11:39:51,290.917
2019-07-12 11:39:50,313.5158
2019-07-12 11:39:49,331.6555
2019-07-12 11:39:48,307.2864
2019-07-12 11:39:47,293.4339
2019-07-12 11:39:46,317.8498
2019-07-12 11:39:45,345.4193
2019-07-12 11:39:44,372.2008
2019-07-12 11:39:43,369.3901
2019-07-12 11:39:42,331.0381
2019-07-12 11:39:41,343.3627
2019-07-12 11:39:40,355.618
2019-07-12 11:39:39,313.2203
2019-07-12 11:39:38,309.4475
2019-07-12 11:39:37,290.7395
2019-07-12 11:39:36,299.2823
2019-07-12 11:39:35,292.3535
2019-07-12 11:39:34,275.7743
2019-07-12 11:39:33,302.2649
2019-07-12 11:39:32,312.1407
2019-07-12 11:39:31,353.9191
2019-07-12 11:39:30,354.4787
2019-07-12 11:39:29,286.8632
2019-07-12 11:39:28,302.7644
2019-07-12 11:39:27,307.1194
2019-07-12 11:39:26,298.0419
2019-07-12 11:39:25,298.5385
2019-07-12 11:39:24,300.1495
2019-07-12 11:39:23,291.3622
2019-07-12 11:39:22,300.3942
2019-07-12 11:39:21,340.5352
2019-07-12 11:39:20,343.4656
2019-07-12 11:39:19,319.5929
2019-07-12 11:39:18,300.4744
2019-07-12 11:39:17,291.2082
2019-07-12 11:39:16,316.0441
2019-07-12 11:39:15,325.5034
2019-07-12 11:39:14,388.8978
2019-07-12 11:39:13,422.4261
2019-07-12 11:39:12,358.1363
2019-07-12 11:39:11,366.0098
2019-07-12 11:39:10,360.2477
2019-07-12 11:39:09,317.4071
2019-07-12 11:39:08,323.68
2019-07-12 11:39:07,323.5351
2019-07-12 11:39:06,318.5744
2019-07-12 11:39:05,321.7861
2019-07-12 11:39:04,320.0409
2019-07-12 11:39:03,300.1789
2019-07-12 11:39:02,299.834
2019-07-12 11:39:01,372.6559
2019-07-12 11:39:00,372.9154
2019-07-12 11:38:59,288.2358
2019-07-12 11:38:58,295.1833
2019-07-12 11:38:57,309.5861
