time,reads,writes
2019-07-12 11:38:47,0,-0.5165861
2019-07-12 11:38:46,0,0
2019-07-12 11:38:45,0,-0.9598144
2019-07-12 11:38:44,0,-1.0401856
2019-07-12 11:38:43,0,-0.5017118
2019-07-12 11:38:42,0,-0.4982882
2019-07-12 11:38:41,0,0
2019-07-12 11:38:40,0,0
2019-07-12 11:38:39,0,0
2019-07-12 11:38:38,0,0
2019-07-12 11:38:37,0,0
2019-07-12 11:38:36,0,0
2019-07-12 11:38:35,0,-1.0024481
2019-07-12 11:38:34,0,-0.9975519
2019-07-12 11:38:33,0,0
2019-07-12 11:38:32,0,0
2019-07-12 11:38:31,0,0
2019-07-12 11:38:30,0,0
2019-07-12 11:38:29,0,0
2019-07-12 11:38:28,0,0
2019-07-12 11:38:27,0,0
2019-07-12 11:38:26,0,0
2019-07-12 11:38:25,0,0
2019-07-12 11:38:24,0,0
2019-07-12 11:38:23,0,0
2019-07-12 11:38:22,0,0
2019-07-12 11:38:21,0,0
2019-07-12 11:38:20,0,0
2019-07-12 11:38:19,0,-1.0011073
2019-07-12 11:38:18,0,-0.9988927
2019-07-12 11:38:17,0,-0.5042126
2019-07-12 11:38:16,0,-0.4957874
2019-07-12 11:38:15,0,0
2019-07-12 11:38:14,0,0
2019-07-12 11:38:13,0,-1.0516193
2019-07-12 11:38:12,0,-0.9483807
2019-07-12 11:38:11,0,0
2019-07-12 11:38:10,0,0
2019-07-12 11:38:09,0,0
2019-07-12 11:38:08,0,0
2019-07-12 11:38:07,0,-0.5219481
2019-07-12 11:38:06,0,-0.4780519
2019-07-12 11:38:05,0,-1.0435183
2019-07-12 11:38:04,0,-0.9564817
2019-07-12 11:38:03,0,0
2019-07-12 11:38:02,0,0
2019-07-12 11:38:01,0,0
2019-07-12 11:38:00,0,0
2019-07-12 11:37:59,0,0
2019-07-12 11:37:58,0,0
2019-07-12 11:37:57,0,0
2019-07-12 11:37:56,0,0
2019-07-12 11:37:55,0,0
2019-07-12 11:37:54,0,0
2019-07-12 11:37:53,0,0
2019-07-12 11:37:52,0,0
2019-07-12 11:37:51,0,0
2019-07-12 11:37:50,0,0
2019-07-12 11:37:49,0,-1.046817
2019-07-12 11:37:48,0,-0.953183
2019-07-12 11:37:47,0,-0.5227417
2019-07-12 11:37:46,0,-0.4772583
2019-07-12 11:37:45,0,0
2019-07-12 11:37:44,0,0
2019-07-12 11:37:43,0,-1.0972879
2019-07-12 11:37:42,0,-0.9027121
2019-07-12 11:37:41,0,0
2019-07-12 11:37:40,0,0
2019-07-12 11:37:39,0,0
2019-07-12 11:37:38,0,0
2019-07-12 11:37:37,0,-0.5461646
2019-07-12 11:37:36,0,-0.4538354
2019-07-12 11:37:35,0,0
2019-07-12 11:37:34,0,0
2019-07-12 11:37:33,0,-1.091843
2019-07-12 11:37:32,0,-0.908157
2019-07-12 11:37:31,0,0
2019-07-12 11:37:30,0,0
2019-07-12 11:37:29,0,0
2019-07-12 11:37:28,0,0
2019-07-12 11:37:27,0,-0.5437171
2019-07-12 11:37:26,0,-0.4562829
2019-07-12 11:37:25,0,0
2019-07-12 11:37:24,0,0
2019-07-12 11:37:23,0,0
2019-07-12 11:37:22,0,0
2019-07-12 11:37:21,0,0
2019-07-12 11:37:20,0,-1.0867769
2019-07-12 11:37:19,0,-0.9132231
2019-07-12 11:37:18,0,0
2019-07-12 11:37:17,0,0
2019-07-12 11:37:16,0,0
2019-07-12 11:37:15,0,0
2019-07-12 11:37:14,0,0
2019-07-12 11:37:13,0,-1.1358897
2019-07-12 11:37:12,0,-0.8641103
2019-07-12 11:37:11,0,0
2019-07-12 11:37:10,0,0
2019-07-12 11:37:09,0,0
2019-07-12 11:37:08,0,0
2019-07-12 11:37:07,0,0
2019-07-12 11:37:06,0,0
2019-07-12 11:37:05,0,0
2019-07-12 11:37:04,0,0
2019-07-12 11:37:03,0,-1.126799
2019-07-12 11:37:02,0,-0.873201
2019-07-12 11:37:01,0,0
2019-07-12 11:37:00,0,0
2019-07-12 11:36:59,0,0
2019-07-12 11:36:58,0,0
2019-07-12 11:36:57,0,0
2019-07-12 11:36:56,0,-0.5646113
2019-07-12 11:36:55,0,-0.4353887
2019-07-12 11:36:54,0,0
2019-07-12 11:36:53,0,0
2019-07-12 11:36:52,0,0
2019-07-12 11:36:51,0,0
2019-07-12 11:36:50,0,-2.851097
2019-07-12 11:36:49,0,-2.148903
2019-07-12 11:36:48,0,0
2019-07-12 11:36:47,0,0
2019-07-12 11:36:46,0,0
2019-07-12 11:36:45,0,-0.5655897
