time,running,blocked
2019-07-12 11:41:29,2,0
2019-07-12 11:41:28,4,0
2019-07-12 11:41:27,4,0
2019-07-12 11:41:26,4,0
2019-07-12 11:41:25,5,0
2019-07-12 11:41:24,3,0
2019-07-12 11:41:23,4,0
2019-07-12 11:41:22,5,0
2019-07-12 11:41:21,5,0
2019-07-12 11:41:20,4,0
2019-07-12 11:41:19,4,0
2019-07-12 11:41:18,5,0
2019-07-12 11:41:17,6,0
2019-07-12 11:41:16,4,0
2019-07-12 11:41:15,3,0
2019-07-12 11:41:14,5,0
2019-07-12 11:41:13,3,0
2019-07-12 11:41:12,4,0
2019-07-12 11:41:11,5,0
2019-07-12 11:41:10,5,0
2019-07-12 11:41:09,3,0
2019-07-12 11:41:08,5,0
2019-07-12 11:41:07,4,0
2019-07-12 11:41:06,4,0
2019-07-12 11:41:05,4,0
2019-07-12 11:41:04,3,0
2019-07-12 11:41:03,5,0
2019-07-12 11:41:02,2,0
2019-07-12 11:41:01,4,0
2019-07-12 11:41:00,4,0
2019-07-12 11:40:59,3,0
2019-07-12 11:40:58,5,0
2019-07-12 11:40:57,5,0
2019-07-12 11:40:56,3,0
2019-07-12 11:40:55,4,0
2019-07-12 11:40:54,5,0
2019-07-12 11:40:53,5,0
2019-07-12 11:40:52,4,0
2019-07-12 11:40:51,3,0
2019-07-12 11:40:50,4,0
2019-07-12 11:40:49,2,0
2019-07-12 11:40:48,3,0
2019-07-12 11:40:47,3,0
2019-07-12 11:40:46,4,0
2019-07-12 11:40:45,4,0
2019-07-12 11:40:44,3,0
2019-07-12 11:40:43,5,0
2019-07-12 11:40:42,4,0
2019-07-12 11:40:41,5,0
2019-07-12 11:40:40,3,0
2019-07-12 11:40:39,5,0
2019-07-12 11:40:38,4,0
2019-07-12 11:40:37,4,0
2019-07-12 11:40:36,4,0
2019-07-12 11:40:35,5,0
2019-07-12 11:40:34,3,0
2019-07-12 11:40:33,4,0
2019-07-12 11:40:32,4,0
2019-07-12 11:40:31,2,0
2019-07-12 11:40:30,4,0
2019-07-12 11:40:29,2,0
2019-07-12 11:40:28,5,0
2019-07-12 11:40:27,3,0
2019-07-12 11:40:26,4,0
2019-07-12 11:40:25,4,0
2019-07-12 11:40:24,5,0
2019-07-12 11:40:23,3,0
2019-07-12 11:40:22,5,0
2019-07-12 11:40:21,4,0
2019-07-12 11:40:20,4,0
2019-07-12 11:40:19,4,0
2019-07-12 11:40:18,4,0
2019-07-12 11:40:17,3,0
2019-07-12 11:40:16,2,0
2019-07-12 11:40:15,6,0
2019-07-12 11:40:14,6,0
2019-07-12 11:40:13,4,0
2019-07-12 11:40:12,2,0
2019-07-12 11:40:11,4,0
2019-07-12 11:40:10,4,0
2019-07-12 11:40:09,5,0
2019-07-12 11:40:08,5,0
2019-07-12 11:40:07,5,0
2019-07-12 11:40:06,3,0
2019-07-12 11:40:05,4,0
2019-07-12 11:40:04,3,0
2019-07-12 11:40:03,4,0
2019-07-12 11:40:02,3,0
2019-07-12 11:40:01,4,0
2019-07-12 11:40:00,5,0
2019-07-12 11:39:59,4,0
2019-07-12 11:39:58,4,0
2019-07-12 11:39:57,4,0
2019-07-12 11:39:56,5,0
2019-07-12 11:39:55,4,0
2019-07-12 11:39:54,2,0
2019-07-12 11:39:53,4,0
2019-07-12 11:39:52,4,0
2019-07-12 11:39:51,5,0
2019-07-12 11:39:50,3,0
2019-07-12 11:39:49,4,0
2019-07-12 11:39:48,4,0
2019-07-12 11:39:47,3,0
2019-07-12 11:39:46,5,0
2019-07-12 11:39:45,3,0
2019-07-12 11:39:44,3,0
2019-07-12 11:39:43,6,0
2019-07-12 11:39:42,3,0
2019-07-12 11:39:41,3,0
2019-07-12 11:39:40,4,0
2019-07-12 11:39:39,3,0
2019-07-12 11:39:38,5,0
2019-07-12 11:39:37,4,0
2019-07-12 11:39:36,4,0
2019-07-12 11:39:35,4,0
2019-07-12 11:39:34,3,0
2019-07-12 11:39:33,4,0
2019-07-12 11:39:32,3,0
2019-07-12 11:39:31,2,0
2019-07-12 11:39:30,4,0
2019-07-12 11:39:29,4,0
2019-07-12 11:39:28,3,0
2019-07-12 11:39:27,4,0
2019-07-12 11:39:26,3,0
2019-07-12 11:39:25,5,0
2019-07-12 11:39:24,3,0
2019-07-12 11:39:23,4,0
2019-07-12 11:39:22,4,0
2019-07-12 11:39:21,3,0
2019-07-12 11:39:20,5,0
2019-07-12 11:39:19,4,0
2019-07-12 11:39:18,5,0
2019-07-12 11:39:17,5,0
2019-07-12 11:39:16,4,0
2019-07-12 11:39:15,4,0
2019-07-12 11:39:14,4,0
2019-07-12 11:39:13,4,0
2019-07-12 11:39:12,3,0
2019-07-12 11:39:11,2,0
2019-07-12 11:39:10,4,0
2019-07-12 11:39:09,4,0
2019-07-12 11:39:08,4,0
2019-07-12 11:39:07,3,0
2019-07-12 11:39:06,3,0
2019-07-12 11:39:05,4,0
2019-07-12 11:39:04,5,0
2019-07-12 11:39:03,3,0
2019-07-12 11:39:02,4,0
2019-07-12 11:39:01,4,0
2019-07-12 11:39:00,5,0
2019-07-12 11:38:59,3,0
2019-07-12 11:38:58,6,0
2019-07-12 11:38:57,3,0
2019-07-12 11:38:56,4,0
2019-07-12 11:38:55,4,0
2019-07-12 11:38:54,4,0
2019-07-12 11:38:53,3,0
2019-07-12 11:38:52,4,0
2019-07-12 11:38:51,4,0
2019-07-12 11:38:50,3,0
2019-07-12 11:38:49,5,0
2019-07-12 11:38:48,4,0
2019-07-12 11:38:47,4,0
2019-07-12 11:38:46,5,0
2019-07-12 11:38:45,4,0
2019-07-12 11:38:44,5,0
2019-07-12 11:38:43,3,0
2019-07-12 11:38:42,5,0
2019-07-12 11:38:41,4,0
2019-07-12 11:38:40,4,0
2019-07-12 11:38:39,4,0
2019-07-12 11:38:38,5,0
2019-07-12 11:38:37,4,0
2019-07-12 11:38:36,4,0
2019-07-12 11:38:35,4,0
2019-07-12 11:38:34,4,0
2019-07-12 11:38:33,4,0
2019-07-12 11:38:32,4,0
2019-07-12 11:38:31,4,0
2019-07-12 11:38:30,4,0
2019-07-12 11:38:29,4,0
2019-07-12 11:38:28,7,0
2019-07-12 11:38:27,3,0
2019-07-12 11:38:26,3,0
2019-07-12 11:38:25,4,0
2019-07-12 11:38:24,3,0
2019-07-12 11:38:23,5,0
2019-07-12 11:38:22,3,0
2019-07-12 11:38:21,4,0
2019-07-12 11:38:20,5,0
2019-07-12 11:38:19,5,0
2019-07-12 11:38:18,3,0
2019-07-12 11:38:17,4,0
2019-07-12 11:38:16,3,0
2019-07-12 11:38:15,3,0
2019-07-12 11:38:14,3,0
2019-07-12 11:38:13,4,0
2019-07-12 11:38:12,3,0
2019-07-12 11:38:11,4,0
2019-07-12 11:38:10,3,0
2019-07-12 11:38:09,5,0
2019-07-12 11:38:08,3,0
2019-07-12 11:38:07,7,0
2019-07-12 11:38:06,4,0
2019-07-12 11:38:05,4,0
2019-07-12 11:38:04,3,0
2019-07-12 11:38:03,5,0
2019-07-12 11:38:02,3,0
2019-07-12 11:38:01,4,0
2019-07-12 11:38:00,4,0
2019-07-12 11:37:59,5,0
2019-07-12 11:37:58,4,0
2019-07-12 11:37:57,4,0
