time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:45:10,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:09,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:08,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:07,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:06,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:05,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:04,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:03,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:02,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:01,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:00,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:59,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:58,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:57,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:56,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:55,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:54,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:53,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:52,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:51,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:50,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:49,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:48,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:47,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:46,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:45,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:44,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:43,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:42,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:41,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:40,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:39,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:38,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:37,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:36,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:35,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:34,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:33,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:32,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:31,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:30,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:29,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:28,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:27,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:26,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:25,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:24,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:23,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:22,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:21,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:20,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:19,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:18,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:17,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:16,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:15,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:14,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:13,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:12,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:11,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:10,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:09,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:08,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:07,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:06,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:05,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:04,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:03,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:02,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:01,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:44:00,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:59,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:58,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:57,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:56,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:55,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:54,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:53,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:52,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:51,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:50,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:49,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:48,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:47,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:46,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:45,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:44,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:43,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:42,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:41,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:40,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:39,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:38,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:37,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:36,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:35,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:34,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:33,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:32,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:43:31,15,1,0,3,9,32,59,1,170,126,34
