time,received,sent
2019-07-12 11:40:34,0,0
2019-07-12 11:40:33,0,0
2019-07-12 11:40:32,0,0
2019-07-12 11:40:31,0,0
2019-07-12 11:40:30,0,0
2019-07-12 11:40:29,0,0
2019-07-12 11:40:28,0,0
2019-07-12 11:40:27,0,0
2019-07-12 11:40:26,0,0
2019-07-12 11:40:25,0,0
2019-07-12 11:40:24,2.847978,-2.024265
2019-07-12 11:40:23,3.984022,-2.831735
2019-07-12 11:40:22,0,0
2019-07-12 11:40:21,0,0
2019-07-12 11:40:20,0,0
2019-07-12 11:40:19,0,0
2019-07-12 11:40:18,0,0
2019-07-12 11:40:17,0,0
2019-07-12 11:40:16,0,0
2019-07-12 11:40:15,0,0
2019-07-12 11:40:14,2.915712,-2.075823
2019-07-12 11:40:13,3.916288,-2.788177
2019-07-12 11:40:12,0,0
2019-07-12 11:40:11,0,0
2019-07-12 11:40:10,0,0
2019-07-12 11:40:09,0,0
2019-07-12 11:40:08,0,0
2019-07-12 11:40:07,0,0
2019-07-12 11:40:06,0,0
2019-07-12 11:40:05,0,0
2019-07-12 11:40:04,0,0
2019-07-12 11:40:03,3.010134,-2.143046
2019-07-12 11:40:02,3.821866,-2.720954
2019-07-12 11:40:01,0,0
2019-07-12 11:40:00,0,0
2019-07-12 11:39:59,0,0
2019-07-12 11:39:58,0,0
2019-07-12 11:39:57,0,0
2019-07-12 11:39:56,0,0
2019-07-12 11:39:55,0,0
2019-07-12 11:39:54,0,0
2019-07-12 11:39:53,2.988173,-2.123912
2019-07-12 11:39:52,3.843827,-2.732088
2019-07-12 11:39:51,0,0
2019-07-12 11:39:50,0,0
2019-07-12 11:39:49,0,0
2019-07-12 11:39:48,0,0
2019-07-12 11:39:47,0,0
2019-07-12 11:39:46,0,0
2019-07-12 11:39:45,0,0
2019-07-12 11:39:44,0,0
2019-07-12 11:39:43,0,0
2019-07-12 11:39:42,0,0
2019-07-12 11:39:41,3.135092,-2.23568
2019-07-12 11:39:40,3.696908,-2.63632
2019-07-12 11:39:39,0,0
2019-07-12 11:39:38,0,0
2019-07-12 11:39:37,0,0
2019-07-12 11:39:36,0,0
2019-07-12 11:39:35,0,0
2019-07-12 11:39:34,0,0
2019-07-12 11:39:33,0,0
2019-07-12 11:39:32,0,0
2019-07-12 11:39:31,3.136022,-2.236344
2019-07-12 11:39:30,3.695978,-2.635656
2019-07-12 11:39:29,0,0
2019-07-12 11:39:28,0,0
2019-07-12 11:39:27,0,0
2019-07-12 11:39:26,0,0
2019-07-12 11:39:25,0,0
2019-07-12 11:39:24,0,0
2019-07-12 11:39:23,0,0
2019-07-12 11:39:22,0,0
2019-07-12 11:39:21,3.164161,-2.252705
2019-07-12 11:39:20,3.667839,-2.611295
2019-07-12 11:39:19,0,0
2019-07-12 11:39:18,0,0
2019-07-12 11:39:17,0,0
2019-07-12 11:39:16,0,0
2019-07-12 11:39:15,0,0
2019-07-12 11:39:14,0,0
2019-07-12 11:39:13,0,0
2019-07-12 11:39:12,0,0
2019-07-12 11:39:11,3.29586,-2.350326
2019-07-12 11:39:10,3.53614,-2.521674
2019-07-12 11:39:09,0,0
2019-07-12 11:39:08,0,0
2019-07-12 11:39:07,0,0
2019-07-12 11:39:06,0,0
2019-07-12 11:39:05,0,0
2019-07-12 11:39:04,0,0
2019-07-12 11:39:03,0,0
2019-07-12 11:39:02,0,0
2019-07-12 11:39:01,3.276257,-2.336347
2019-07-12 11:39:00,3.555743,-2.535653
2019-07-12 11:38:59,0,0
2019-07-12 11:38:58,0,0
2019-07-12 11:38:57,0,0
2019-07-12 11:38:56,0,0
2019-07-12 11:38:55,0,0
2019-07-12 11:38:54,0,0
2019-07-12 11:38:53,0,0
2019-07-12 11:38:52,0,0
2019-07-12 11:38:51,0,0
2019-07-12 11:38:50,0,0
2019-07-12 11:38:49,3.30413,-2.352355
2019-07-12 11:38:48,3.52787,-2.511645
2019-07-12 11:38:47,0,0
2019-07-12 11:38:46,0,0
2019-07-12 11:38:45,0,0
2019-07-12 11:38:44,0,0
2019-07-12 11:38:43,0,0
2019-07-12 11:38:42,0,0
2019-07-12 11:38:41,0,0
2019-07-12 11:38:40,0,0
2019-07-12 11:38:39,3.41613,-2.428092
2019-07-12 11:38:38,3.41587,-2.427908
2019-07-12 11:38:37,0,0
2019-07-12 11:38:36,0,0
2019-07-12 11:38:35,0,0
2019-07-12 11:38:34,0,0
2019-07-12 11:38:33,0,0
2019-07-12 11:38:32,0,0
2019-07-12 11:38:31,0,0
2019-07-12 11:38:30,0,0
2019-07-12 11:38:29,3.44971,-2.455999
2019-07-12 11:38:28,3.38229,-2.408001
2019-07-12 11:38:27,0,0
2019-07-12 11:38:26,0,0
2019-07-12 11:38:25,0,0
2019-07-12 11:38:24,0,0
2019-07-12 11:38:23,0,0
2019-07-12 11:38:22,0,0
2019-07-12 11:38:21,0,0
2019-07-12 11:38:20,0,0
2019-07-12 11:38:19,3.41777,-2.43326
2019-07-12 11:38:18,3.41423,-2.43074
2019-07-12 11:38:17,0,0
2019-07-12 11:38:16,0,0
2019-07-12 11:38:15,0,0
2019-07-12 11:38:14,0,0
2019-07-12 11:38:13,0,0
2019-07-12 11:38:12,0,0
2019-07-12 11:38:11,0,0
2019-07-12 11:38:10,0,0
2019-07-12 11:38:09,3.561802,-2.535803
2019-07-12 11:38:08,3.270198,-2.328197
2019-07-12 11:38:07,0,0
2019-07-12 11:38:06,0,0
2019-07-12 11:38:05,0,0
2019-07-12 11:38:04,0,0
2019-07-12 11:38:03,0,0
2019-07-12 11:38:02,0,0
2019-07-12 11:38:01,0,0
2019-07-12 11:38:00,0,0
2019-07-12 11:37:59,3.560159,-2.534633
2019-07-12 11:37:58,3.271841,-2.329367
2019-07-12 11:37:57,0,0
2019-07-12 11:37:56,0,0
2019-07-12 11:37:55,0,0
2019-07-12 11:37:54,0,0
2019-07-12 11:37:53,0,0
2019-07-12 11:37:52,0,0
2019-07-12 11:37:51,0,0
2019-07-12 11:37:50,0,0
2019-07-12 11:37:49,3.573238,-2.548128
2019-07-12 11:37:48,3.258762,-2.323872
2019-07-12 11:37:47,0,0
2019-07-12 11:37:46,0,0
2019-07-12 11:37:45,0,0
2019-07-12 11:37:44,0,0
2019-07-12 11:37:43,0,0
2019-07-12 11:37:42,0,0
2019-07-12 11:37:41,0,0
2019-07-12 11:37:40,0,0
2019-07-12 11:37:39,0,0
2019-07-12 11:37:38,0,0
2019-07-12 11:37:37,3.726284,-2.657268
2019-07-12 11:37:36,3.105716,-2.214732
2019-07-12 11:37:35,0,0
2019-07-12 11:37:34,0,0
2019-07-12 11:37:33,0,0
2019-07-12 11:37:32,0,0
2019-07-12 11:37:31,0,0
2019-07-12 11:37:30,0,0
2019-07-12 11:37:29,0,0
2019-07-12 11:37:28,0,0
2019-07-12 11:37:27,3.711883,-2.646999
2019-07-12 11:37:26,3.120117,-2.225001
2019-07-12 11:37:25,0,0
2019-07-12 11:37:24,0,0
2019-07-12 11:37:23,0,0
2019-07-12 11:37:22,0,0
2019-07-12 11:37:21,0,0
2019-07-12 11:37:20,0,0
2019-07-12 11:37:19,0,0
2019-07-12 11:37:18,0,0
2019-07-12 11:37:17,3.713831,-2.648388
2019-07-12 11:37:16,3.118169,-2.223612
2019-07-12 11:37:15,0,0
2019-07-12 11:37:14,0,0
2019-07-12 11:37:13,0,0
2019-07-12 11:37:12,0,0
2019-07-12 11:37:11,0,0
2019-07-12 11:37:10,0,0
2019-07-12 11:37:09,0,0
2019-07-12 11:37:08,0,0
2019-07-12 11:37:07,3.908428,-2.782581
2019-07-12 11:37:06,2.923572,-2.081419
2019-07-12 11:37:05,0,0
2019-07-12 11:37:04,0,0
2019-07-12 11:37:03,0,0
2019-07-12 11:37:02,0,0
2019-07-12 11:37:01,0,0
2019-07-12 11:37:00,0,0
2019-07-12 11:36:59,0,0
2019-07-12 11:36:58,0,0
2019-07-12 11:36:57,3.848781,-2.744622
2019-07-12 11:36:56,2.983219,-2.127378
2019-07-12 11:36:55,0,0
2019-07-12 11:36:54,0,0
2019-07-12 11:36:53,0,0
2019-07-12 11:36:52,0,0
2019-07-12 11:36:51,0,0
2019-07-12 11:36:50,0,0
2019-07-12 11:36:49,0,0
2019-07-12 11:36:48,0,0
2019-07-12 11:36:47,3.860414,-2.752918
2019-07-12 11:36:46,2.971586,-2.119082
2019-07-12 11:36:45,0,0
2019-07-12 11:36:44,0,0
2019-07-12 11:36:43,0,0
2019-07-12 11:36:42,0,0
2019-07-12 11:36:41,0,0
2019-07-12 11:36:40,0,0
2019-07-12 11:36:39,0,0
2019-07-12 11:36:38,0,0
2019-07-12 11:36:37,3.990169,-2.836104
2019-07-12 11:36:36,2.841831,-2.019896
2019-07-12 11:36:35,0,0
2019-07-12 11:36:34,0,0
2019-07-12 11:36:33,0,0
2019-07-12 11:36:32,0,0
2019-07-12 11:36:31,0,0
2019-07-12 11:36:30,0,0
2019-07-12 11:36:29,0,0
2019-07-12 11:36:28,0,0
2019-07-12 11:36:27,3.994088,-2.838889
2019-07-12 11:36:26,2.837912,-2.017111
2019-07-12 11:36:25,0,0
2019-07-12 11:36:24,0,0
2019-07-12 11:36:23,0,0
2019-07-12 11:36:22,0,0
2019-07-12 11:36:21,0,0
2019-07-12 11:36:20,0,0
2019-07-12 11:36:19,0,0
2019-07-12 11:36:18,0,0
2019-07-12 11:36:17,4.017783,-2.86514
2019-07-12 11:36:16,2.814217,-2.00686
2019-07-12 11:36:15,0,0
2019-07-12 11:36:14,0,0
2019-07-12 11:36:13,0,0
2019-07-12 11:36:12,0,0
2019-07-12 11:36:11,0,0
2019-07-12 11:36:10,0,0
2019-07-12 11:36:09,0,0
2019-07-12 11:36:08,0,0
2019-07-12 11:36:07,0,0
2019-07-12 11:36:06,4.137651,-2.95062
2019-07-12 11:36:05,2.694349,-1.92138
2019-07-12 11:36:04,0,0
2019-07-12 11:36:03,0,0
2019-07-12 11:36:02,0,0
2019-07-12 11:36:01,0,0
2019-07-12 11:36:00,0,0
2019-07-12 11:35:59,0,0
2019-07-12 11:35:58,0,0
2019-07-12 11:35:57,0,0
2019-07-12 11:35:56,4.141697,-2.948655
